8/6 19:45:43.625  SPELL_AURA_APPLIED,0x000000000000BE9C,"Heypal",0x512,0x000000000000BE9C,"Heypal",0x512,818066,"Aura of Experience",0x0,BUFF
8/6 19:45:43.673  SPELL_AURA_APPLIED,0x00000000000115C2,"Baconbish",0x512,0x0000000000011FEC,"Artichoke",0x512,818059,"Aura of Experience",0x0,BUFF
8/6 19:45:43.673  SPELL_AURA_APPLIED,0x0000000000011FEC,"Artichoke",0x512,0x0000000000011FEC,"Artichoke",0x512,818066,"Aura of Experience",0x0,BUFF
8/6 19:45:43.673  SPELL_AURA_APPLIED,0x00000000000058E4,"Elric",0x511,0x00000000000115C2,"Baconbish",0x512,818061,"Aura of Reputation",0x0,BUFF
8/6 19:45:43.774  SPELL_AURA_APPLIED,0x0000000000011FEC,"Artichoke",0x512,0x00000000000115C2,"Baconbish",0x512,10293,"Devotion Aura",0x2,BUFF
8/6 19:45:43.774  SPELL_AURA_APPLIED,0x0000000000011FEC,"Artichoke",0x512,0x0000000000000C1F,"Influx",0x512,10293,"Devotion Aura",0x2,BUFF
8/6 19:45:43.774  SPELL_AURA_APPLIED,0x0000000000011FEC,"Artichoke",0x512,0x000000000000BE9C,"Heypal",0x512,10293,"Devotion Aura",0x2,BUFF
8/6 19:45:43.774  SPELL_AURA_APPLIED,0x0000000000011FEC,"Artichoke",0x512,0x00000000000058E4,"Elric",0x511,10293,"Devotion Aura",0x2,BUFF
8/6 19:45:44.024  SPELL_CAST_SUCCESS,0x000000000000BE9C,"Heypal",0x512,0x0000000000000000,nil,0x80000000,52138,"Water Shield",0x8
8/6 19:45:44.024  SPELL_AURA_APPLIED,0x000000000000BE9C,"Heypal",0x512,0x000000000000BE9C,"Heypal",0x512,52138,"Water Shield",0x8,BUFF
8/6 19:45:44.675  SPELL_AURA_APPLIED,0x00000000000058E4,"Elric",0x511,0x0000000000011FEC,"Artichoke",0x512,818061,"Aura of Reputation",0x0,BUFF
8/6 19:45:44.675  SPELL_AURA_APPLIED,0xF1300010CC000017,"Scarlet Wizard",0xa48,0xF1300010C7000018,"Scarlet Myrmidon",0xa48,2101212,"Fire Ward",0x4,BUFF
8/6 19:45:45.430  SPELL_CAST_SUCCESS,0x000000000000BE9C,"Heypal",0x512,0x000000000000BE9C,"Heypal",0x512,25290,"Blessing of Wisdom",0x2
8/6 19:45:45.430  SPELL_AURA_APPLIED,0x000000000000BE9C,"Heypal",0x512,0x0000000000011FEC,"Artichoke",0x512,25290,"Blessing of Wisdom",0x2,BUFF
8/6 19:45:45.430  SPELL_AURA_APPLIED,0x000000000000BE9C,"Heypal",0x512,0x00000000000115C2,"Baconbish",0x512,25290,"Blessing of Wisdom",0x2,BUFF
8/6 19:45:45.430  SPELL_AURA_APPLIED,0x000000000000BE9C,"Heypal",0x512,0x0000000000000C1F,"Influx",0x512,25290,"Blessing of Wisdom",0x2,BUFF
8/6 19:45:45.430  SPELL_AURA_APPLIED,0x000000000000BE9C,"Heypal",0x512,0x000000000000BE9C,"Heypal",0x512,25290,"Blessing of Wisdom",0x2,BUFF
8/6 19:45:45.430  SPELL_AURA_APPLIED,0x000000000000BE9C,"Heypal",0x512,0x00000000000058E4,"Elric",0x511,25290,"Blessing of Wisdom",0x2,BUFF
8/6 19:45:45.588  SPELL_CAST_SUCCESS,0x00000000000115C2,"Baconbish",0x512,0x00000000000115C2,"Baconbish",0x512,10157,"Arcane Intellect",0x40
8/6 19:45:45.588  SPELL_AURA_REMOVED,0x00000000000058E4,"Elric",0x511,0x00000000000058E4,"Elric",0x511,23028,"Arcane Brilliance",0x40,BUFF
8/6 19:45:45.588  SPELL_AURA_APPLIED,0x00000000000115C2,"Baconbish",0x512,0x0000000000011FEC,"Artichoke",0x512,10157,"Arcane Intellect",0x40,BUFF
8/6 19:45:45.588  SPELL_AURA_APPLIED,0x00000000000115C2,"Baconbish",0x512,0x00000000000115C2,"Baconbish",0x512,10157,"Arcane Intellect",0x40,BUFF
8/6 19:45:45.588  SPELL_AURA_APPLIED,0x00000000000115C2,"Baconbish",0x512,0x0000000000000C1F,"Influx",0x512,10157,"Arcane Intellect",0x40,BUFF
8/6 19:45:45.588  SPELL_AURA_APPLIED,0x00000000000115C2,"Baconbish",0x512,0x000000000000BE9C,"Heypal",0x512,10157,"Arcane Intellect",0x40,BUFF
8/6 19:45:45.588  SPELL_AURA_APPLIED,0x00000000000115C2,"Baconbish",0x512,0x00000000000058E4,"Elric",0x511,10157,"Arcane Intellect",0x40,BUFF
8/6 19:45:45.676  SPELL_AURA_APPLIED,0x00000000000058E4,"Elric",0x511,0x0000000000000C1F,"Influx",0x512,818061,"Aura of Reputation",0x0,BUFF
8/6 19:45:45.676  SPELL_AURA_APPLIED,0x00000000000058E4,"Elric",0x511,0x000000000000BE9C,"Heypal",0x512,818061,"Aura of Reputation",0x0,BUFF
8/6 19:45:45.833  SPELL_CAST_SUCCESS,0x0000000000000C1F,"Influx",0x512,0x0000000000000000,nil,0x80000000,20375,"Seal of Command",0x2
8/6 19:45:46.848  SPELL_CAST_SUCCESS,0x0000000000000C1F,"Influx",0x512,0x0000000000000000,nil,0x80000000,59030,"Horn of Winter",0x10
8/6 19:45:46.848  SPELL_ENERGIZE,0x0000000000000C1F,"Influx",0x512,0x0000000000000C1F,"Influx",0x512,59030,"Horn of Winter",0x10,10,1
8/6 19:45:46.848  SPELL_AURA_APPLIED,0x0000000000000C1F,"Influx",0x512,0x0000000000011FEC,"Artichoke",0x512,59030,"Horn of Winter",0x10,BUFF
8/6 19:45:46.848  SPELL_AURA_APPLIED,0x0000000000000C1F,"Influx",0x512,0x00000000000115C2,"Baconbish",0x512,59030,"Horn of Winter",0x10,BUFF
8/6 19:45:46.848  SPELL_AURA_REFRESH,0x0000000000000C1F,"Influx",0x512,0x0000000000000C1F,"Influx",0x512,59030,"Horn of Winter",0x10,BUFF
8/6 19:45:46.848  SPELL_AURA_APPLIED,0x0000000000000C1F,"Influx",0x512,0x000000000000BE9C,"Heypal",0x512,59030,"Horn of Winter",0x10,BUFF
8/6 19:45:46.848  SPELL_AURA_APPLIED,0x0000000000000C1F,"Influx",0x512,0x00000000000058E4,"Elric",0x511,59030,"Horn of Winter",0x10,BUFF
8/6 19:45:47.256  SPELL_CAST_SUCCESS,0x000000000000BE9C,"Heypal",0x512,0x0000000000000000,nil,0x80000000,51992,"Earthliving Weapon",0x8
8/6 19:45:47.256  ENCHANT_REMOVED,0x0000000000000000,nil,0x80000000,0x000000000000BE9C,"Heypal",0x512,"Earthliving 1",18534,"Rod of the Ogre Magi"
8/6 19:45:47.256  ENCHANT_APPLIED,0x000000000000BE9C,"Heypal",0x512,0x000000000000BE9C,"Heypal",0x512,"Earthliving 4",18534,"Rod of the Ogre Magi"
8/6 19:45:48.506  SPELL_CAST_SUCCESS,0x0000000000000C1F,"Influx",0x512,0x0000000000000000,nil,0x80000000,16362,"Windfury Weapon",0x8
8/6 19:45:48.506  ENCHANT_REMOVED,0x0000000000000000,nil,0x80000000,0x0000000000000C1F,"Influx",0x512,"Windfury 4",115452,"Fist of Omokk"
8/6 19:45:48.506  ENCHANT_APPLIED,0x0000000000000C1F,"Influx",0x512,0x0000000000000C1F,"Influx",0x512,"Windfury 4",115452,"Fist of Omokk"
8/6 19:45:51.021  SPELL_AURA_APPLIED,0xF1300010CA000001,"Scarlet Defender",0xa48,0xF1300010CA000001,"Scarlet Defender",0xa48,2101702,"Defensive Stance",0x1,BUFF
8/6 19:45:51.021  SPELL_AURA_APPLIED,0xF1300010CA000006,"Scarlet Defender",0xa48,0xF1300010CA000006,"Scarlet Defender",0xa48,2101702,"Defensive Stance",0x1,BUFF
8/6 19:45:51.528  SPELL_CAST_START,0xF1300010CA000001,"Scarlet Defender",0xa48,0x0000000000000000,nil,0x80000000,2101729,"Devastate",0x1
8/6 19:45:51.528  SPELL_CAST_START,0xF1300010CA000006,"Scarlet Defender",0xa48,0x0000000000000000,nil,0x80000000,2101729,"Devastate",0x1
8/6 19:45:51.637  SPELL_CAST_SUCCESS,0x0000000000011FEC,"Artichoke",0x512,0x0000000000000000,nil,0x80000000,20924,"Consecration",0x2
8/6 19:45:51.637  SPELL_DAMAGE,0x0000000000011FEC,"Artichoke",0x512,0xF1300010CA000001,"Scarlet Defender",0xa48,410003,"Improved Consecration",0x2,211,0,2,0,0,0,nil,nil,nil
8/6 19:45:51.637  SPELL_DAMAGE,0x0000000000011FEC,"Artichoke",0x512,0xF1300010CA000006,"Scarlet Defender",0xa48,410003,"Improved Consecration",0x2,211,0,2,0,0,0,nil,nil,nil
8/6 19:45:51.637  SPELL_AURA_APPLIED,0x0000000000011FEC,"Artichoke",0x512,0xF1300010CA000001,"Scarlet Defender",0xa48,20924,"Consecration",0x2,DEBUFF
8/6 19:45:51.637  SPELL_AURA_APPLIED,0x0000000000011FEC,"Artichoke",0x512,0xF1300010CA000001,"Scarlet Defender",0xa48,410003,"Improved Consecration",0x2,DEBUFF
8/6 19:45:51.637  SPELL_AURA_APPLIED,0x0000000000011FEC,"Artichoke",0x512,0xF1300010CA000006,"Scarlet Defender",0xa48,20924,"Consecration",0x2,DEBUFF
8/6 19:45:51.637  SPELL_AURA_APPLIED,0x0000000000011FEC,"Artichoke",0x512,0xF1300010CA000006,"Scarlet Defender",0xa48,410003,"Improved Consecration",0x2,DEBUFF
8/6 19:45:52.598  SPELL_PERIODIC_DAMAGE,0x0000000000011FEC,"Artichoke",0x512,0xF1300010CA000001,"Scarlet Defender",0xa48,20924,"Consecration",0x2,86,0,2,0,0,0,nil,nil,nil
8/6 19:45:52.598  SPELL_PERIODIC_DAMAGE,0x0000000000011FEC,"Artichoke",0x512,0xF1300010CA000006,"Scarlet Defender",0xa48,20924,"Consecration",0x2,86,0,2,0,0,0,nil,nil,nil
8/6 19:45:52.683  SPELL_CAST_SUCCESS,0x00000000000115C2,"Baconbish",0x512,0xF1300010CA000001,"Scarlet Defender",0xa48,9835,"Moonfire",0x40
8/6 19:45:52.683  SPELL_DAMAGE,0x00000000000115C2,"Baconbish",0x512,0xF1300010CA000001,"Scarlet Defender",0xa48,9835,"Moonfire",0x40,277,0,64,0,0,0,nil,nil,nil
8/6 19:45:52.683  SPELL_AURA_APPLIED,0x00000000000115C2,"Baconbish",0x512,0x00000000000115C2,"Baconbish",0x512,44401,"Missile Barrage",0x40,BUFF
8/6 19:45:52.728  SPELL_AURA_APPLIED,0x00000000000115C2,"Baconbish",0x512,0xF1300010CA000001,"Scarlet Defender",0xa48,9835,"Moonfire",0x40,DEBUFF
8/6 19:45:53.036  SPELL_DAMAGE,0xF1300010CA000001,"Scarlet Defender",0xa48,0x0000000000011FEC,"Artichoke",0x512,2101729,"Devastate",0x1,139,0,1,0,0,0,nil,nil,nil
8/6 19:45:53.036  SPELL_AURA_REMOVED,0x0000000000011FEC,"Artichoke",0x512,0x0000000000011FEC,"Artichoke",0x512,10952,"Inner Fire",0x2,BUFF
8/6 19:45:53.036  SPELL_AURA_APPLIED,0x0000000000011FEC,"Artichoke",0x512,0xF1300010CA000001,"Scarlet Defender",0xa48,6136,"Chilled",0x10,DEBUFF
