8/6 21:34:19.251  SPELL_PERIODIC_DAMAGE,0x00000000000000EB,"Aliantha",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,13318,"Shanked!",0x1,88,0,1,0,0,0,nil,nil,nil
8/6 21:34:19.289  SPELL_CAST_START,0x00000000000099D2,"Canvos",0x518,0x0000000000000000,nil,0x80000000,57307,"Steady Shot",0x1
8/6 21:34:19.344  SPELL_PERIODIC_DAMAGE,0x000000000000020D,"Altaris",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,283245,"Cobra Venom",0x8,97,0,8,0,0,0,nil,nil,nil
8/6 21:34:19.344  SPELL_DAMAGE,0xF14005C20A0011ED,"Subdued Mistress",0x1118,0xF1300EC25600001F,"Dynamic Training Dummy",0xa28,93835,"Unholy Aura",0x20,271,0,32,0,0,0,nil,nil,nil
8/6 21:34:19.344  SPELL_DAMAGE,0xF14005C20A0011ED,"Subdued Mistress",0x1118,0xF1300EC25600001D,"Dynamic Training Dummy",0xa28,93835,"Unholy Aura",0x20,271,0,32,0,0,0,nil,nil,nil
8/6 21:34:19.399  SPELL_CAST_SUCCESS,0x00000000000000EB,"Aliantha",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,907284,"Voidbound Cleave",0x21
8/6 21:34:19.399  SPELL_DAMAGE,0x00000000000000EB,"Aliantha",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,907284,"Voidbound Cleave",0x21,1714,0,32,0,0,0,1,nil,nil
8/6 21:34:19.399  SPELL_DAMAGE,0x00000000000000EB,"Aliantha",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,276075,"Fel Infused Attack",0x24,178,0,36,0,0,0,nil,nil,nil
8/6 21:34:19.399  SPELL_DAMAGE,0x00000000000000EB,"Aliantha",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,760427,"Gloomblade",0x21,137,0,32,0,0,0,nil,nil,nil
8/6 21:34:19.399  SWING_DAMAGE,0x00000000000000EB,"Aliantha",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,121,0,1,0,0,0,nil,nil,nil
8/6 21:34:19.399  SPELL_DAMAGE,0x00000000000000EB,"Aliantha",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,276075,"Fel Infused Attack",0x24,178,0,36,0,0,0,nil,nil,nil
8/6 21:34:19.454  SPELL_AURA_APPLIED,0x00000000000000EB,"Aliantha",0x518,0x00000000000000EB,"Aliantha",0x518,16278,"Flurry",0x1,BUFF
8/6 21:34:19.454  SPELL_AURA_REFRESH,0x00000000000000EB,"Aliantha",0x518,0x00000000000000EB,"Aliantha",0x518,57520,"Enrage",0x1,BUFF
8/6 21:34:19.545  SPELL_PERIODIC_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000022,"Dynamic Training Dummy",0xa28,12654,"Ignite",0x4,813,0,4,0,0,0,nil,nil,nil
8/6 21:34:19.657  SPELL_PERIODIC_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000020,"Dynamic Training Dummy",0xa28,12654,"Ignite",0x4,947,0,4,0,0,0,nil,nil,nil
8/6 21:34:19.657  SPELL_AURA_REMOVED,0x0000000000005474,"Siberianwolf",0x518,0x0000000000005474,"Siberianwolf",0x518,865819,"Ghostly Strike",0x1,BUFF
8/6 21:34:19.842  SPELL_AURA_REMOVED,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000022,"Dynamic Training Dummy",0xa28,284790,"Absolute Hellfire",0x1,DEBUFF
8/6 21:34:19.842  SPELL_AURA_REMOVED,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000021,"Dynamic Training Dummy",0xa28,284790,"Absolute Hellfire",0x1,DEBUFF
